"Faction,WinRate,OverRep,FourZeroStart,EventWins,PlayerPopulation"
"Aeldari,55,1.58,12,166,5"
"Genestealer Cults,54,1.54,12,57,2"
"Thousand Sons,53,1.27,10,58,3"
"Adepta Sororitas,52,1.33,11,71,3"
"Necrons,52,1.14,9,105,6"
"Chaos Daemons,52,1.07,9,61,4"
"Death Guard,51,1.03,9,90,5"
"Imperial Knights,51,1.02,7,56,4"
"Deathwatch,51,1.06,8,17,1"
"Space Wolves,51,1.11,9,40,2"
"Black Templars,50,1.00,8,40,3"
"Leagues of Votann,50,0.84,8,39,3"
"World Eaters,50,0.89,8,51,4"
"Adeptus Custodes,50,0.78,6,40,5"
"Chaos Knights,50,0.85,6,46,4"
"Adeptus Mechanicus,50,1.10,10,27,2"
"Drukhari,49,1.02,8,39,2"
"Chaos Space Marines,49,0.97,8,96,5"
"Grey Knights,49,0.96,7,34,3"
"Blood Angels,49,0.92,8,58,4"
"Orks,49,0.99,8,77,4"
"Tyranids,49,0.79,7,52,5"
"Tau Empire,48,0.91,7,58,4"
"Astra Militarum,48,0.88,7,90,5"
"Emperor's Children,48,0.79,7,14,2"
"Dark Angels,47,0.82,6,45,4"
"Space Marines,46,0.79,6,90,7"
"Imperial Agents,42,0.94,7,2,0"